id,idade,genero,estado,curso_faculdade,ano_formatura,possui_estagio,cursos_extras,certificacoes,linguagens_conhecidas,tecnologias_domina,tempo_busca_meses,vagas_aplicadas,entrevistas_realizadas,rejeicoes_recebidas,feedbacks_recebidos,trabalhos_freelancer,maior_dificuldade,sentiu_preparado,participou_programas_treinamento,contatos_profissionais,conseguiu_emprego,tempo_ate_emprego,tipo_empresa,tipo_contrato
1,22,Masculino,"São Paulo","Ciência da Computação",2022,Sim,"Curso de Python Avançado","AWS Certified Cloud Practitioner","Python, Java, SQL","Django, Spring Boot",3,15,5,3,2,2,"Entrevistas técnicas",Sim,Sim,10,Sim,3,Multinacional,CLT
2,25,Feminino,"Rio de Janeiro","Engenharia de Software",2021,Não,"UX/UI Design","Scrum Master","JavaScript, HTML, CSS","React, Node.js",6,30,8,6,4,5,"Provas de algoritmos",Não,Não,5,Sim,6,Startup,PJ
3,23,Não-binário,"Minas Gerais","Sistemas de Informação",2023,Sim,"Data Science Bootcamp","Google Data Analytics","Python, R, SQL","Pandas, TensorFlow",2,10,3,1,1,1,"Negociação salarial",Sim,Sim,8,Sim,2,Consultoria,CLT
4,24,Masculino,"Santa Catarina","Análise e Desenvolvimento de Sistemas",2022,Não,"Programação em C++","Oracle Certified Associate","C++, Python","Docker, Kubernetes",12,50,10,8,3,3,"Falta de experiência",Não,Sim,7,Não,NULL,NULL,NULL
5,26,Feminino,Paraná,"Ciência de Dados",2020,Sim,"Machine Learning","Microsoft Certified: Azure Data Scientist","Python, R, SQL","PyTorch, Spark",4,20,6,4,3,0,"Case interviews",Sim,Não,12,Sim,4,"Empresa de médio porte",CLT
6,30,Masculino,Goiás,"Segurança da Informação",2018,Sim,"Ethical Hacking","Certified Ethical Hacker","Python, Bash","Metasploit, Wireshark",5,25,7,5,4,2,"Testes de penetração",Sim,Sim,20,Sim,5,Banco,CLT
7,22,Feminino,Pernambuco,"Jogos Digitais",2023,Não,"Unity 3D","Unity Certified","C#, JavaScript","Unity, Unreal Engine",9,40,5,4,2,8,"Portfólio insuficiente",Não,Não,3,Não,NULL,NULL,NULL
8,27,Masculino,Ceará,"Redes de Computadores",2020,Não,"Cloud Computing","Cisco CCNA","Python, Bash","AWS, Azure",6,15,4,3,1,0,"Configuração de redes",Sim,Não,25,Sim,6,Telecomunicações,CLT
9,24,Feminino,"Distrito Federal","Engenharia da Computação",2022,Sim,"IoT Development","Certified IoT Practitioner","C, Python","Arduino, Raspberry Pi",3,12,5,2,2,1,"Hardware programming",Sim,Sim,18,Sim,3,"Indústria de Hardware",CLT
10,21,Masculino,"São Paulo","Sistemas para Internet",2023,Sim,"Web Development","Oracle Certified","Java, JavaScript","Spring, Angular",2,8,3,1,1,2,"Testes técnicos",Sim,Sim,6,Sim,2,"Consultoria TI",PJ
